name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug
Xavier Newman-Johnson,RG,Jets,UFA,3.0,28.0,1402500.0,0.0,NYJ,OL,xavier-newman-johnson
Elijah Campbell,S,Giants,UFA,2.5,32.0,1402500.0,50000.0,NYG,S,elijah-campbell
Myles Bryant,CB,Browns,UFA,33.0,29.0,1402500.0,517500.0,CLE,CB,myles-bryant
Julius Chestnut,RB,Titans,UFA,3.8,27.0,1402500.0,102500.0,TEN,RB,julius-chestnut
Darrell Baker Jr.,CB,Dolphins,UFA,68.2,29.0,1402500.0,1262500.0,MIA,CB,darrell-baker-jr
Geno Stone,S,Bills,UFA,93.1,28.0,1402500.0,187500.0,BUF,S,geno-stone
Kindle Vildor,CB,Patriots,UFA,15.8,30.0,1402500.0,437500.0,NE,CB,kindle-vildor
Anfernee Jennings,EDGE,Saints,UFA,27.4,30.0,1402500.0,187500.0,NO,EDGE,anfernee-jennings
Akayleb Evans,CB,Panthers,UFA,4.8,28.0,1402500.0,598800.0,CAR,CB,akayleb-evans
Riley Patterson,K,Dolphins,UFA,32.9,29.0,1402500.0,0.0,MIA,ST,riley-patterson
Greg Dortch,WR,Lions,UFA,25.7,29.0,1402500.0,1075000.0,DET,WR,greg-dortch
Eric Johnson,IDL,Vikings,UFA,11.4,29.0,1402500.0,93750.0,MIN,IDL,eric-johnson
Jerome Ford,RB,Commanders,UFA,24.8,28.0,1402500.0,437500.0,WAS,RB,jerome-ford
Isaiah Simmons,LB,Panthers,UFA,0.1,29.0,1402500.0,187500.0,CAR,LB,isaiah-simmons
Zach Wilson,QB,Saints,UFA,2.6,28.0,1402500.0,598800.0,NO,QB,zach-wilson
Gunner Olszewski,WR,Giants,UFA,10.3,31.0,1402500.0,300000.0,NYG,WR,gunner-olszewski
Charlie Heck,RT,Dolphins,UFA,41.7,31.0,1402500.0,187500.0,MIA,OL,charlie-heck
Zayne Anderson,S,Dolphins,UFA,2.0,30.0,1402500.0,752500.0,MIA,S,zayne-anderson
Daniel Faalele,RT,Giants,UFA,99.6,28.0,1402500.0,687500.0,NYG,OL,daniel-faalele
Roger McCreary,CB,Lions,UFA,32.2,27.0,1402500.0,987500.0,DET,CB,roger-mccreary
Joe Tryon-Shoyinka,EDGE,Eagles,UFA,13.2,28.0,1402500.0,662500.0,PHI,EDGE,joe-tryon-shoyinka
David Ojabo,EDGE,Dolphins,UFA,17.3,27.0,1402500.0,0.0,MIA,EDGE,david-ojabo
Cam Taylor-Britt,CB,Colts,UFA,32.0,28.0,1402500.0,687500.0,IND,CB,cam-taylor-britt
Drake Jackson,EDGE,Commanders,UFA,5.4,26.0,1402500.0,500000.0,WAS,EDGE,drake-jackson
Jalen Tolbert,WR,Dolphins,UFA,39.1,28.0,1402500.0,1262500.0,MIA,WR,jalen-tolbert
Azeez Ojulari,EDGE,Falcons,UFA,6.0,27.0,1402500.0,387500.0,ATL,EDGE,azeez-ojulari
James Hudson,RT,Patriots,UFA,7.4,28.0,1402500.0,537500.0,NE,OL,james-hudson
Tutu Atwell,WR,Dolphins,UFA,16.5,28.0,1402500.0,1075000.0,MIA,WR,tutu-atwell
Adam Prentice,FB,Broncos,UFA,18.5,30.0,1402500.0,587500.0,DEN,RB,adam-prentice
Damone Clark,LB,Lions,UFA,9.3,27.0,1402500.0,75000.0,DET,LB,damone-clark
Simi Fehoko,WR,Cardinals,UFA,3.3,30.0,1402500.0,1262500.0,ARI,WR,simi-fehoko
K.J. Britt,LB,Patriots,UFA,14.8,28.0,1402500.0,687500.0,NE,LB,kj-britt
Van Jefferson,WR,Commanders,UFA,55.2,31.0,1402500.0,527500.0,WAS,WR,van-jefferson
Jason Pinnock,S,Giants,UFA,45.5,28.0,1402500.0,200000.0,NYG,S,jason-pinnock
A.J. Dillon,RB,Panthers,UFA,4.7,29.0,1402500.0,100000.0,CAR,RB,aj-dillon
Kyle Dugger,S,Bengals,UFA,66.0,31.0,1402500.0,75000.0,CIN,S,kyle-dugger
"Willie Gay, Jr.",LB,Dolphins,UFA,13.1,29.0,1402500.0,687500.0,MIA,LB,willie-gay-jr
Justin Skule,LT,Buccaneers,UFA,57.7,31.0,1402500.0,500000.0,TB,OL,justin-skule
Tylan Wallace,WR,Browns,UFA,18.2,28.0,1402500.0,125000.0,CLE,WR,tylan-wallace
Kylen Granson,TE,Titans,UFA,23.1,29.0,1402500.0,625000.0,TEN,TE,kylen-granson
Olisaemeka Udoh,LT,Cardinals,UFA,32.3,30.0,1402500.0,350000.0,ARI,OL,olisaemeka-udoh
Joshua Uche,EDGE,Dolphins,UFA,21.7,29.0,1402500.0,1262500.0,MIA,EDGE,joshua-uche
Shy Tuttle,IDL,Commanders,UFA,16.5,32.0,1400000.0,50000.0,WAS,IDL,shy-tuttle
Ronnie Harrison,S,Dolphins,UFA,25.1,30.0,1400000.0,0.0,MIA,S,ronnie-harrison
Chazz Surratt,LB,Seahawks,UFA,0.6,30.0,1400000.0,350000.0,SEA,LB,chazz-surratt
Michael Burton,FB,Browns,UFA,0.0,35.0,1400000.0,60000.0,CLE,RB,michael-burton
Cameron Sample,EDGE,49ers,UFA,21.5,28.0,1393500.0,225000.0,SF,EDGE,cameron-sample
Zach Harrison,EDGE,Falcons,UFA,21.7,26.0,1392112.0,1049780.0,ATL,EDGE,zach-harrison
Marte Mapu,LB,Texans,UFA,11.7,28.0,1390927.0,1046332.0,HOU,LB,marte-mapu
Byron Young,EDGE,Rams,UFA,76.1,29.0,1388810.0,1040172.0,LAR,EDGE,byron-young
D'Anthony Bell,S,Seahawks,UFA,8.5,31.0,1385000.0,125000.0,SEA,S,danthony-bell
Tucker Kraft,TE,Packers,UFA,41.8,27.0,1384483.0,1027588.0,GB,TE,tucker-kraft
